loss,learning_rate,epoch,step
0.6922,2.0000000000000003e-06,0.04,100
0.6669,4.000000000000001e-06,0.07,200
0.6584,6e-06,0.11,300
0.5865,8.000000000000001e-06,0.15,400
0.4405,1e-05,0.18,500
0.4327,9.869195552648791e-06,0.22,600
0.3919,9.738391105297581e-06,0.26,700
0.368,9.60758665794637e-06,0.29,800
0.3533,9.476782210595162e-06,0.33,900
0.3464,9.34597776324395e-06,0.37,1000
0.3672,9.21517331589274e-06,0.41,1100
0.3294,9.084368868541531e-06,0.44,1200
0.3453,8.953564421190321e-06,0.48,1300
0.3451,8.822759973839112e-06,0.52,1400
0.323,8.6919555264879e-06,0.55,1500
0.349,8.561151079136692e-06,0.59,1600
0.3201,8.43034663178548e-06,0.63,1700
0.3209,8.299542184434271e-06,0.66,1800
0.3176,8.168737737083061e-06,0.7,1900
0.2724,8.037933289731851e-06,0.74,2000
0.3084,7.907128842380642e-06,0.77,2100
0.3191,7.776324395029432e-06,0.81,2200
0.3413,7.645519947678222e-06,0.85,2300
0.3181,7.5147155003270124e-06,0.88,2400
0.3116,7.383911052975802e-06,0.92,2500
0.2874,7.253106605624591e-06,0.96,2600
0.3149,7.122302158273382e-06,0.99,2700
0.2954,6.991497710922172e-06,1.03,2800
0.2987,6.860693263570962e-06,1.07,2900
0.2845,6.7298888162197515e-06,1.1,3000
0.3138,6.599084368868543e-06,1.14,3100
0.2764,6.468279921517332e-06,1.18,3200
0.2797,6.337475474166122e-06,1.22,3300
0.277,6.2066710268149126e-06,1.25,3400
0.2987,6.075866579463702e-06,1.29,3500
0.2708,5.945062132112492e-06,1.33,3600
0.2868,5.814257684761282e-06,1.36,3700
0.2885,5.683453237410073e-06,1.4,3800
0.2772,5.552648790058862e-06,1.44,3900
0.2616,5.4218443427076524e-06,1.47,4000
0.2955,5.291039895356443e-06,1.51,4100
0.2692,5.160235448005233e-06,1.55,4200
0.2842,5.029431000654022e-06,1.58,4300
0.2738,4.898626553302813e-06,1.62,4400
0.2542,4.767822105951603e-06,1.66,4500
0.2765,4.637017658600393e-06,1.69,4600
0.2772,4.506213211249183e-06,1.73,4700
0.2582,4.375408763897973e-06,1.77,4800
0.2563,4.244604316546763e-06,1.8,4900
0.2614,4.1137998691955525e-06,1.84,5000
0.2555,3.982995421844343e-06,1.88,5100
0.2931,3.852190974493133e-06,1.92,5200
0.2607,3.721386527141923e-06,1.95,5300
0.2722,3.590582079790713e-06,1.99,5400
0.2446,3.4597776324395034e-06,2.03,5500
0.2502,3.3289731850882933e-06,2.06,5600
0.2609,3.1981687377370835e-06,2.1,5700
0.2376,3.0673642903858734e-06,2.14,5800
0.236,2.9365598430346637e-06,2.17,5900
0.2459,2.805755395683453e-06,2.21,6000
0.2581,2.6749509483322433e-06,2.25,6100
0.2441,2.5441465009810336e-06,2.28,6200
0.2523,2.4133420536298234e-06,2.32,6300
0.2209,2.2825376062786137e-06,2.36,6400
0.2658,2.1517331589274035e-06,2.39,6500
0.2418,2.020928711576194e-06,2.43,6600
0.2378,1.8901242642249836e-06,2.47,6700
0.2365,1.7593198168737737e-06,2.5,6800
0.2537,1.628515369522564e-06,2.54,6900
0.243,1.497710922171354e-06,2.58,7000
0.238,1.366906474820144e-06,2.62,7100
0.2409,1.2361020274689341e-06,2.65,7200
0.2499,1.105297580117724e-06,2.69,7300
0.2212,9.744931327665142e-07,2.73,7400
0.2622,8.436886854153043e-07,2.76,7500
0.2195,7.128842380640942e-07,2.8,7600
0.2617,5.820797907128843e-07,2.84,7700
0.2365,4.5127534336167433e-07,2.87,7800
0.2132,3.204708960104644e-07,2.91,7900
0.2367,1.896664486592544e-07,2.95,8000
0.2649,5.886200130804448e-08,2.98,8100
